,Item,Unit Ukuran,Kekerapan / Unit Ukuran,Bil. Unit Ukuran Sehari,Bil. Unit Ukuran Sebulan,Kuantiti,* Maklumbalas,Tawaran Pembekal
,Spesifikasi,,,,,,,
,ITEM 1: PEMBANGUNAN SEMULA PORTAL JKPTG KAJIAN / ANALISIS KEPERLUAN PENGGUNA DAN REKABENTUK PORTAL,unit,1.0,1.0,,,,
,"1.0 Penyebut harga hendaklah melaksanakan sesi bengkel Kajian Keperluan Pengguna bersama Pihak Kerajaan bagi memahami keperluan dan kehendak pengguna dalam membangunkan semula Portal Rasmi JKPTG dengan mengadakan perbincangan bersama Pihak Kerajaan (Pasukan Projek Pembangunan Portal JKPTG).
Bengkel Keperluan pengguna
20 Peserta x 3 hari x 1 Sesi

Penyebut Harga MESTI menanggung makan minum, penyediaan material bengkel dan lain-lain yang setara.",12,,,,,,
,2.0 Penyebut harga hendaklah menganalisa kesemua keperluan Kerajaan dan mereka bentuk Portal Rasmi JKPTG berdasarkan keperluan-keperluan yang akan ditetapkan. Penyebut harga boleh mengesyorkan keperluan tambahan bagi menghasilkan portal yang lengkap dan komprehensif.,12,,,,,,
,"3.0 Penyebut harga hendaklah menyediakan dan mengemukakan Dokumentasi Keperluan yang mengandungi:
i. User Requirement Specification (URS); dan
ii. Software Requirement Specification (SRS) kepada Kerajaan",12,,,,,,
,4.0 Penyebut harga hendaklah membentangkan Laporan Lengkap Hasil Kajian Keperluan Pengguna dan Sistem untuk kelulusan Pihak Kerajaan sebelum aktiviti seterusnya dimulakan.,12,,,,,,
,"5.0 Penyebut harga hendaklah memastikan reka bentuk portal menyokong elemen-elemen berikut:
i. Penggunaan infografik dan elemen multimedia yang bersesuaian;
ii. Reka bentuk web responsif dipaparkan dengan baik pada pelbagai saiz dan jenis peranti (telefon pintar, netbook/notebook/laptop, komputer peribadi/desktop, tablet) serta sistem operasi seperti Android dan macOS;
iii. Mesra pengguna (user-friendly);
iv. Reka bentuk yang menarik dan profesional; dan
v. Selaras dengan trend reka bentuk web semasa.",12,,,,,,
,"6.0. Penyebut harga hendaklah menyediakan dan mengemukakan sekurang-kurangnya tiga (3) cadangan reka bentuk mock-up berdasarkan dapatan kajian keperluan yang telah dilaksanakan merangkumi reka bentuk:
i. halaman pendaratan (landing page),
ii. halaman utama,
iii. halaman dalaman (halaman kedua) dan;
iv. versi mudah alih (reka bentuk responsif) portal.

Cadangan mock-up yang dipilih adalah tertakluk kepada semakan dan pengesahan oleh pihak Kerajaan. Penyebut Harga MESTI memastikan cadangan mockup yang dikemukakan adalah asli berdasarkan kreativiti sendiri.",12,,,,,,
,"7.0 Penyebut harga hendaklah mencadangkan penggunaan perisian (tulen dan original) dan teknologi versi terkini yang bersesuaian bagi pelaksanaan pembangunan portal, termasuk tetapi tidak terhad kepada Sistem Pengurusan Kandungan (CMS), bahasa pengaturcaraan dan pelayan web (web server). Web server yang dicadangkan hendaklahlah Open Standard, flexible, scalable serta mudah disenggara dan diubahsuai dengan kos optimum.",12,,,,,,
,"8.0 PEMBANGUNAN PORTAL DAN KEPERLUAN FUNGSI

Penyebut harga hendaklah membangunkan Portal Rasmi JKPTG yang memenuhi keperluan yang telah dipersetujui di dalam URS dan SRS mengikut mock-up yang telah dipersetujui.",12,,,,,,
,"9.0 Portal Rasmi JKPTG yang dibangunkan hendaklah menyediakan kemudahan:
i. Compatible dengan semua pelayar web utama seperti Microsoft Edge, Internet Explorer, Google Chrome, Mozilla Firefox, Apple Safari, Opera, serta pelayar lain.
ii. Menyokong penggunaan dwibahasa iaitu Bahasa Melayu dan Bahasa Inggeris. Penyebut harga tidak terlibat dalam penterjemahan kandungan.",12,,,,,,
,10.0 Penyebut Harga MESTI membangunkan portal yang mempunyai kemudahan World Wide Web Consortium (W3C) Disability Accessibility iaitu versi capaian untuk pengguna kurang upaya pendengaran yang berkeupayaan menyediakan paparan grafik ataupun teks bagi maklumat yang disampaikan secara audio.,12,,,,,,
,11.0 Penyebut Harga MESTI membangunkan portal yang mempunyai kemudahan World Wide Web Consortium (W3C) Disability Accessibility iaitu versi capaian untuk pengguna kurang upaya penglihatan yang berkeupayaan menyediakan penggunaan audio bagi maklumat yang bersesuaian.,12,,,,,,
,12.0 Penyebut Harga MESTI membangunkan portal yang mempunyai kemudahan World Wide Web Consortium (W3C) Disability Accessibility iaitu versi capaian untuk pengguna Warga emas yang berkeupayaan menukar saiz huruf dan jenis fon agar mudah dibaca oleh warga emas.,12,,,,,,
,"13.0 Penyebut Harga MESTI membangunkan portal yang mempunyai kemudahan World Wide Web Consortium (W3C) Disability Accessibility iaitu versi capaian untuk pengguna buta warna yang berkeupayaan menukar warna latar belakang portal atau penggunaan warna yang kontras dalam reka bentuk laman web. Bagi imej atau teks yang menggunakan warna bagi membezakan sesuatu, petunjuk warna perlu dipaparkan.",12,,,,,,
,"14.0 Penyebut harga hendaklah memasang, mengkonfigurasi dan memastikan fungsian sekurang-kurangnya plugin-plugin seperti yang disenaraikan di bawah atau yang setara/lebih baik, bagi tujuan meningkatkan prestasi, keselamatan dan kecekapan Portal Rasmi JKPTG.
i. Security Plugin
ii. Photo Slider
iii. Caching Plugin
iv. SEO Plugin",12,,,,,,
,"15.0
v. Automatic Backup Plugin
vi. Image Optimization Plugin
vii. Cleaning Tools Plugin
viii. Visitor Analytics Plugin
ix. Broken Link Checker Plugin
x. Social Media Integration
xi. Flipping Book Plugin",12,,,,,,
,"16.0 Selain daripada senarai plugin yang dinyatakan di atas, Penyebut harga boleh mencadangkan nama plugin yang akan digunakan.Semua plugin yang dicadangkan hendaklah:
i) Menyokong versi terkini sistem pengurusan kandungan yang digunakan;
ii) Diselenggara secara aktif (active support & updates);
iii) Tidak menjejaskan prestasi dan keselamatan sistem;
iv) Mematuhi keperluan keselamatan ICT semasa; dan
v) Kos yang berkaitan dengan penggunaan plugin dan add-ons berbayar bagi Portal Rasmi JKPTG diambil kira dan diserap sepenuhnya sebagai sebahagian daripada kos pembangunan.",28,,,,,,
,"17.0 Penyebut harga hendaklah menyediakan ciri-ciri log atau analisis statistik yang mengandungi maklumat-maklumat seperti yang dinyatakan di bawah. Statistik yang disediakan hendaklah boleh dipaparkan secara harian, bulanan atau tahunan mengikut keperluan. Senarai analisa statistik yang diperlukan adalah seperti dibawah:
i. Halaman yang paling popular dikalangan pengunjung portal
ii. Statistik pelawat (harian, mingguan dan bulanan)
iii. Lain-lain statistik yang boleh memberi manfaat kepada JKPTG
Sila berikan penjelasan",28,,,,,,
,"18.0 Penyebut harga hendaklah mencadangkan tools yang akan digunakan untuk menganalisa data statistik portal. Contoh: Google Analytics, Google Search Console Insights.
Sila nyatakan cadangan",28,,,,,,
,"19.0 Penyebut Harga MESTI memastikan portal yang dibangunkan memenuhi keperluan Speed Optimizer On Loading Page termasuk, dan tidak terhad kepada perkara berikut:
i. Tempoh masa kepantasan paparan laman dipaparkan setiap kali klik adalah kurang daripada lima (5) saat;
ii. Kedalaman klik tidak melebihi tiga (3) kali klik untuk mencapai maklumat yang dikehendaki oleh pengguna;
iii. Setiap web request tidak boleh dialihkan (redirect) lebih daripada lima (5) kali sebelum selesai;
iv. Penggunaan format gambar yang sesuai untuk fast loading; dan
v. Lain-lain kaedah yang bersesuaian.
Sila berikan penjelasan",28,,,,,,
,"20.0 Penyebut harga hendaklah memastikan Portal Rasmi JKPTG dibangunkan:
i. Mematuhi Polisi Keselamatan Siber (PKS) JKPTG
ii. Mengikut standard keselamatan aplikasi web antarabangsa (OWASP) supaya ia lebih kukuh, selamat, dan terlindung daripada ancaman siber.
iii. Berasaskan Pekeliling Pendigitalan Perkhidmatan Awam Bilangan 1 Tahun 2025 serta mematuhi Sistem Pemantauan Laman Web dan Servis Kerajaan (SPLaSK) oleh Jabatan Digital Negara (JDN).
iv. Merangkumi tagging SPLaSK mengikut kriteria JDN; dan
v. Lain-lain pekeliling / garis panduan mengikut keperluan pihak kerajaan.
Sila berikan penjelasan",28,,,,,,
,"21.0 Penyebut harga hendaklah mengambil kira ciri-ciri keselamatan semasa pembangunan sistem selaras dengan aspek keselamatan yang digariskan dalam Surat Pekeliling Am Bilangan 4 Tahun 2024 - Garis Panduan Penilaian Tahap Keselamatan Rangkaian dan Sistem ICT Sektor Awam.
Sila jelaskan ciri-ciri keselamatan yang berkaitan dengan Surat Pekeliling Am Bilangan 4 Tahun 2024",28,,,,,,
,"22.0 Portal Rasmi yang dibangunkan hendaklah menyediakan fungsi carian yang komprehensif termasuk advanced search dan searchable database supaya pengguna mudah mendapatkan maklumat yang relevan dengan cepat. Sebagai contoh, carian berdasarkan kata kunci (keyword), tajuk artikel atau dokumen (title), teks penuh kandungan (content) dan tag atau label yang ditetapkan pada kandungan (tagging).
Sila berikan penjelasan",28,,,,,,
,"23.0 Portal Rasmi JKPTG yang dibangunkan hendaklah mempunyai fungsi luput secara automatik ke posting yang dibuat mengikut tarikh dan status posting berkenaan bagi memudahkan pengendalian Portal Rasmi JKPTG. Sebagai contoh, fungsi luput secara automatik bagi maklumat yang mempunyai tempoh tamat dan status aktif/tidak aktif seperti aktiviti, pengiklanan tender dan lain-lain.
Sila berikan penjelasan",28,,,,,,
,"24.0 Penyebut harga hendaklah menyediakan template-template page / microsite baharu yang bersesuaian dengan konsep antaramuka Portal yang dibangunkan untuk digunakan di dalam kandungan Portal Rasmi JKPTG ini.
Sila berikan penjelasan.",28,,,,,,
,25.0 Penyebut harga hendaklah mengemukakan contoh rekabentuk/antaramuka portal yang telah dibangunkan sebelum ini. Contoh ini hendaklah dilampirkan di dalam Lampiran 7 - Contoh Laman Web Yang Pernah Dibangunkan.,28,,,,,,
,"26.0 Penyebut harga hendaklah membangunkan Portal Rasmi JKPTG yang mempunyai ciri-ciri seperti berikut:
i. SiteMap yang mudah difahami
ii. Chatbot
iii. Dashboard dan laporan bagi tujuan analisa statistik pengunjung
iv. Automatik Backup
v. SEO
vi. Optimasi Imej
vii. Cleaning Tools
viii. Audit Trail yang boleh diintegrasikan dengan Sistem Centrelized Log sedia ada
ix. Integrasi API bagi direktori Intranet JKPTG (dalaman)",12,,,,,,
,"27.0 Penyebut harga hendaklah memahami dan mematuhi semua perkara dan tidak terhad:
i. Penyelenggaraan dan sokongan teknikal
ii. Service Level Agreement (SLA)

yang dinyatakan di Lampiran 1 - Skop Kerja Dan Keperluan Umum",28,,,,,,
,ITEM 2: PEMBANGUNAN KOMPONEN AI CHATBOT,unit,1.0,1.0,,,,
,"1.0 Penyebut harga hendaklah menyedia dan mengemukakan kaedah dan konsep pelaksanaan pembangunan komponen AI Chatbot kepada Pihak Kerajaan. Kaedah ini hendaklah dimasukkan dalam catatan Lampiran 2 - Jadual Pelaksanaan bagi item AI chatbot.
Sila nyatakan cadangan.",28,,,,,,
,"2.0 Penyebut harga hendaklah membangunkan dan menyediakan Chatbot AI yang mempunyai ciri-ciri berikut:
i. Menarik dan mesra pengguna - Quick reply buttons, chat bubble, responsive, mobile-friendly
ii. Mudah diselenggara dan ditambahbaik
iii.Boleh berinteraksi/menyokong dan memahami Bahasa Malaysia dan Bahasa Inggeris
iv.Menggunakan NLP & AI (Natural Language Processing) untuk memahami soalan pengguna
v.Chatbot mesti boleh menjawab soalan sepanjang masa tanpa henti.
vi. Maksimum penggunaan chatbot bagi setiap bulan x 12 bulan :
Sesi chat: 100, 000chat
Token: 1, 000, 000 token
vii. Fungsi notifikasi mesti dihantar kepada pentadbir portal sebelum kuota chatbot hampir habis.
viii. Fungsi chatbot mesti boleh bertukar kepada normal chat apabila kouta chatbot AI telah habis.",28,,,,,,
,"3.0
ix. Jawapan Berasaskan FAQ - Jawapan automatik berdasarkan soalan lazim dan Pentadbir Sistem boleh mengemaskini tanpa pengaturcaraan.
x. Integrasi Sistem - sumber pangkalan data yang ekstrak dari Portal Rasmi JKPTG, Portal MyLAND dan Portal Intranet
xi.Keselamatan & Privasi - Data encryption, HTTPS, kawalan akses, patuh PDPA
xii.Analitik & Pemantauan - Statistik soalan, kadar kejayaan jawapan dan trend pertanyaan.",28,,,,,,
,4.0 Membangunkan fungsi normal chatbot. Ia mesti berfungsi apabila kuota chatbot AI telah habis.,12,,,,,,
,"5.0 Penyebut harga hendaklah membangunkan portal yang mempunyai ciri-ciri keselamatan seperti API, Encryption, dan token bagi pembangunan Chatbot AI supaya keselamatan data kerajaan terjamin",28,,,,,,
,"6.0 Penyebut harga hendaklah membangunkan Chatbot menggunakan pembangun GUI dengan menentukan jawapan dan aliran bersyarat yang unik untuk setiap kes penggunaan merujuk sumber kandungan yang akan diesktrak dari Portal Rasmi JKPTG dan dari pangkalan data (Intermediate database) yang akan dibangunkan oleh pihak pembekal.
Sila nyatakan cadangan pelaksanaan.",28,,,,,,
,ITEM 3: MIGRASI DATA PORTAL RASMI JKPTG,unit,1.0,1.0,,,,
,1.0 Penyebut harga hendaklah menyedia dan mengemukakan pelan migrasi data kepada Pihak Kerajaan. Penyebut harga hanya dibenarkan melaksanakan kerja-kerja migrasi setelah Pihak Kerajaan bersetuju dengan pelan migrasi yang dicadangkan.,12,,,,,,
,2.0 Penyebut harga hendaklah melaksanakan aktiviti migrasi dalam tempoh pembangunan. Pentauliahan hanya akan dilaksanakan selepas aktiviti migrasi selesai dan disahkan.,12,,,,,,
,3.0 Penyebut harga hendaklah melaksanakan aktiviti migrasi tanpa menyebabkan sebarang gangguan atau downtime yang tidak dirancang kepada Portal sedia ada.,12,,,,,,
,4.0 Penyebut harga hendaklah melaksanakan kerja-kerja migrasi data/kandungan portal sedia ada ke Portal Rasmi JKPTG yang baharu mengikut pelan migrasi yang telah dipersetujui kerajaan.,12,,,,,,
,5.0 Penyebut harga hendaklah melaksanakan ujian pengesahan kesempurnaan migrasi yang dilaksanakan serta menyediakan laporan hasil pengujian yang dilaksanakan tersebut untuk pengesahan Kerajaan.,12,,,,,,
,"ITEM 4: PENGURUSAN SERVER PEMASANGAN APLIKASI PORTAL, PERISIAN DAN KONFIGURASI SISTEM",unit,1.0,1.0,,,,
,1.0 Penyebut harga hendaklah menjalankan aktiviti pemasangan dan konfigurasi perisian pada infra/virtual machine yang disediakan bagi persekitaran di Pusat Data JKPTG (Staging) dan PDSA Teras dan PDSA Perisai.,12,,,,,,
,"2.0 Penyebut harga hendaklah memastikan pembangunan Portal Rasmi JKPTG menggunakan teknologi pengaturcaraan PHP, Content Management System (CMS) (open source) dan pangkalan data MySQL atau MariaDB. Justeru, perisian ini hendaklah dipasang dan dikonfigurasi bersama perisian lain yang berkaitan. Semua perisian, komponen, framework dan modul yang digunakan hendaklah menggunakan versi terkini yang stabil serta disokong secara rasmi oleh pembangun bagi menjamin aspek keselamatan, prestasi dan penyelenggaraan sistem.
Sila nyatakan cadangan pangkalan data dan perisian yang digunakan.",28,,,,,,
,"3.0 Penyebut harga hendaklah menyediakan dan melaksanakan kerja-kerja instalasi dan konfigurasi server di Pusat Data JKPTG (Staging) dan PDSA Teras dan PDSA Perisai. Kerja-kerja ini termasuklah:
i. Instalasi dan Konfigurasi web server, pangkalan data dan sistem pengoperasian
ii. Instalasi dan Konfigurasi dan sync secara berkala pada production server, DRC server, dan staging server.

Penyebut harga hendaklah menyediakan instalasi tidak terhad seperti berikut:
i. Laporan Instalasi dan konfigurasi yang dilaksanakan
ii. Dokumentasi Teknikal (Dokumentasi kerja pre, semasa, dan selepas. Instalasi dan konfigurasi Aplikasi, Pangkalan Data, sistem pengoperasian

Kerja-kerja tersebut hendaklah dimasukkan ke dalam catatan Lampiran 2 - Jadual Pelaksanaan.",28,,,,,,
,"4.0 Penyebut harga hendaklah memasang dan mengkonfigurasi SSL certificate pada Portal Rasmi JKPTG yang baharu.
Sila berikan penjelasan.",28,,,,,,
,"5.0 Penyebut harga hendaklah menjalankan kerja-kerja pemasangan dan pengkonfigurasian Portal Rasmi JKPTG secara menyeluruh sebelum ia ditauliahkan untuk go-live.
Sila nyatakan cadangan pelaksanaan.",28,,,,,,
,"6.0 Penyebut harga hendaklah menyediakan dokumen berikut:
i. Manual teknikal/operasi yang lengkap kepada Pentadbir Teknikal Portal Rasmi JKPTG; dan
ii. Manual pengguna yang lengkap dan mudah difahami kepada Pasukan Projek / Penyelaras Kandungan Portal JKPTG
iii. Semua manual yang diperlukan perlu masukkan kedalam catatan lampiran 2
Sila berikan penjelasan.",28,,,,,,
,ITEM 5: PENGUJIAN PENGUKUHAN PENGUJIAN DAN PENTAULIAHAN PORTAL RASMI BAHARU JKPTG,unit,1.0,1.0,,,,
,"1.0 Penyebut harga hendaklah menyediakan pelan pengujian dan mendapatkan pengesahan Pihak Kerajaan. Pelan Pengujian ini hendaklah dimasukkan ke dalam catatan Lampiran 2 - Jadual Pelaksanaan.Tarikh pengujian yang akan dilaksanakan tertakluk kepada persetujuan Kerajaan.
Sila berikan penjelasan.",28,,,,,,
,"2.0 Penyebut harga hendaklah melaksanakan aktiviti pengujian berikut:
i. User Acceptance Test (UAT)
ii. Final Acceptance Test (FAT) - tempoh FAT ditetapkan selama sebulan iaitu selepas go-live dilaksanakan
iii. Stress Test bersama pihak ketiga yang dilantik oleh Pihak Kerajaan
Sila nyatakan cadangan pelaksanaan.",28,,,,,,
,3.0 Penyebut harga hendaklah menyediakan semua jenis Skrip Pengujian (Test Script) dan diserahkan kepada pegawai JKPTG terlibat bagi tujuan pengujian.,12,,,,,,
,4.0 Penyebut harga hendaklah melaksanakan debugging dan membuat pembetulan serta pindaan sehingga semua portal yang dibangunkan memenuhi spesifikasi yang ditetapkan dan berfungsi dengan baik.,28,,,,,,
,"5.0 Penyebut harga hendaklah memastikan aktiviti hardening dilakukan berdasarkan keputusan pengujian Security Posture Assessment (SPA) yang dilaksanakan secara dalaman oleh JKPTG. Portal perlu berfungsi dan beroperasi dengan baik selepas aktiviti hardening dilaksanakan.
Sila berikan penjelasan.",28,,,,,,
,6.0 Penyebut harga hendaklah mengemukakan Laporan Pengujian termasuk Hasil Pengujian (Test Results) kepada Pihak Kerajaan. Kesemua penerimaan pengujian hendaklahlah disahkan oleh Pihak Kerajaan.,12,,,,,,
,7.0 Penyebut harga hendaklah membuat Penyerahan/Pentauliahan portal selepas menerima pengesahan pentauliahan dari Kerajaan. Penyerahan/Pentauliahan portal hanya boleh dilaksanakan setelah keseluruhan portal berfungsi dengan lancar dan mengikut keperluan pengguna serta mendapat kelulusan dan pengesahan daripada Kerajaan.,12,,,,,,
,ITEM 6: LATIHAN,unit,1.0,1.0,,,,
,"1.0 Penyebut harga hendaklah menyediakan Pelan Latihan dan Pemindahan Teknologi (Transfer of Technology (TOT) Plan) antara Penyebut harga dan Pihak Kerajaan bagi memastikan Pihak Kerajaan berkebolehan untuk mentadbir, menyelenggara dan membuat penambahbaikan terhadap Portal JKPTG mengikut keperluan pada masa hadapan.",12,,,,,,
,"2.0 Penyebut harga hendaklah menyediakan Latihan kepada pegawai yang terlibat didalam pengoperasian Portal seperti berikut :
i. Latihan Teknikal (Pentadbir server) - 5 orang x 2 hari;
ii. Latihan Pentadbir sistem portal 5 orang x1 hari;
iii. Latihan Pengguna (Pentadbir/Penyelaras Kandungan portal/data) - 30 Orang x 2 hari
Lokasi latihan di pejabat JKPTG.
Penyebut Harga MESTI menanggung makan minum, penyediaan material bengkel dan lain-lain yang setara.",12,,,,,,
,"3.0 Penyebut harga hendaklah menyediakan dokumentasi seperti berikut:
i. Manual Pengguna
ii. Modul Latihan
iii. Manual Operasi Sistem Portal",12,,,,,,
,4.0 Penyebut harga hendaklah bersetuju menyerahkan semua kod sumber hasil daripada pelaksanaan perkhidmatan ini dalam format yang akan ditetapkan kemudian dan memastikan kesemua kod sumber tersebut berfungsi dan terkini.,12,,,,,,